ZipCode,FY11Total,FY13Total,Chge11num,PChg2011,Chg2011,PChg2011
62544,"$211,932 ","$245,974 ",34042,16.1,"$34,042.00",16.10%
61616,"$1,414,230 ","$1,643,961 ",229731,16.2,"$229,731.00",16.20%
60542,"$3,155,027 ","$3,670,022 ",514995,16.3,"$514,995.00",16.30%
61489,"$56,682 ","$65,979 ",9297,16.4,"$9,297.00",16.40%
61866,"$2,487,111 ","$2,893,853 ",406742,16.4,"$406,742.00",16.40%
61032,"$7,790,370 ","$9,071,497 ",1281127,16.4,"$1,281,127.00",16.40%
60940,"$388,862 ","$453,571 ",64709,16.6,"$64,709.00",16.60%
62330,"$228,320 ","$266,561 ",38241,16.7,"$38,241.00",16.70%
62702,"$11,830,432 ","$13,810,768 ",1980336,16.7,"$1,980,336.00",16.70%
62677,"$162,117 ","$189,386 ",27269,16.8,"$27,269.00",16.80%
62931,"$210,630 ","$245,982 ",35352,16.8,"$35,352.00",16.80%
61914,"$132,077 ","$154,510 ",22433,17,"$22,433.00",17.00%
62305,"$1,018,406 ","$1,191,760 ",173354,17,"$173,354.00",17.00%
60429,"$3,207,148 ","$3,752,839 ",545691,17,"$545,691.00",17.00%
60622,"$13,692,037 ","$16,044,876 ",2352839,17.2,"$2,352,839.00",17.20%
61602,"$571,952 ","$671,103 ",99151,17.3,"$99,151.00",17.30%
60201,"$2,905,795 ","$3,407,845 ",502050,17.3,"$502,050.00",17.30%
61401,"$6,461,435 ","$7,587,375 ",1125940,17.4,"$1,125,940.00",17.40%
62321,"$365,467 ","$429,457 ",63990,17.5,"$63,990.00",17.50%
60707,"$12,436,524 ","$14,621,203 ",2184679,17.6,"$2,184,679.00",17.60%
60432,"$3,032,143 ","$3,568,389 ",536246,17.7,"$536,246.00",17.70%
60517,"$6,135,318 ","$7,222,541 ",1087223,17.7,"$1,087,223.00",17.70%
60087,"$7,687,411 ","$9,053,610 ",1366199,17.8,"$1,366,199.00",17.80%
62031,"$26,114 ","$30,799 ",4685,17.9,"$4,685.00",17.90%
61842,"$308,791 ","$364,147 ",55356,17.9,"$55,356.00",17.90%
62822,"$537,584 ","$633,606 ",96022,17.9,"$96,022.00",17.90%
60135,"$817,403 ","$963,390 ",145987,17.9,"$145,987.00",17.90%
60162,"$3,140,846 ","$3,703,345 ",562499,17.9,"$562,499.00",17.90%
60016,"$13,035,318 ","$15,364,063 ",2328745,17.9,"$2,328,745.00",17.90%
62082,"$317,309 ","$374,542 ",57233,18,"$57,233.00",18.00%
61102,"$4,771,883 ","$5,629,372 ",857489,18,"$857,489.00",18.00%
62433,"$73,395 ","$86,650 ",13255,18.1,"$13,255.00",18.10%
60525,"$10,362,386 ","$12,242,968 ",1880582,18.1,"$1,880,582.00",18.10%
61913,"$171,361 ","$202,539 ",31178,18.2,"$31,178.00",18.20%
60112,"$548,904 ","$649,024 ",100120,18.2,"$100,120.00",18.20%
60603,"$5,020,054 ","$5,931,438 ",911384,18.2,"$911,384.00",18.20%
62024,"$1,418,787 ","$1,678,504 ",259717,18.3,"$259,717.00",18.30%
60433,"$2,993,102 ","$3,541,526 ",548424,18.3,"$548,424.00",18.30%
60626,"$6,703,605 ","$7,932,122 ",1228517,18.3,"$1,228,517.00",18.30%
60469,"$3,381,211 ","$4,002,707 ",621496,18.4,"$621,496.00",18.40%
60614,"$7,032,209 ","$8,323,498 ",1291289,18.4,"$1,291,289.00",18.40%
62830,"$232,364 ","$275,276 ",42912,18.5,"$42,912.00",18.50%
62823,"$151,689 ","$179,766 ",28077,18.5,"$28,077.00",18.50%
60068,"$5,013,956 ","$5,940,182 ",926226,18.5,"$926,226.00",18.50%
