Place,NumberLocations,NumberMachines,MunicipalityShare
Ohlman,1,4,675.44
Okawville,6,26,4200.81
Old Shawneetown,1,3,210.83
Olney,10,45,8056.87
Olympia Fields,1,3,188.91
Onarga,1,4,653.45
Oquawka,3,14,1479.08
Orangeville,2,9,734.62
Oreana,1,5,653.8
Oregon,12,57,8540.06
Orient,2,9,926.02
Orion,3,11,1410.32
Orland Hills,4,20,10058.56
Oswego,9,42,12306.91
Ottawa,32,139,24214.6
Palestine,2,9,920.96
Palmyra,2,8,452.15
Palos Hills,11,54,13186.5
Pana,10,43,6849.57
Panama,2,8,772.15
Paris,12,53,9195.84
Park City,2,9,1780.56
Park Forest,3,15,2390.84
Patoka,1,5,1243.11
Paw Paw,1,4,312.22
Pawnee,3,15,2357.1
Paxton,2,10,1535.17
Payson,1,3,256.75
Pearl,1,3,247.4
Pearl City,2,8,112.05
Pecatonica,3,13,2771.24
Pekin,33,150,27590.86
Peoria,61,248,45838.92
Peoria County,21,83,10755.37
Peoria Heights,12,49,8840.77
Peotone,7,33,3529.52
Percy,2,10,1181.02
Perry County,1,4,121.51
Peru,24,113,15427.01
Pesotum,1,4,404.48
Petersburg,6,25,2676.75
Philo,3,14,1796.22
Phoenix,2,10,2383.35
Pierron,3,11,987.75
Pinckneyville,6,24,3425.37
Pingree Grove,2,10,4314.94
Piper City,2,10,752.66
Pittsburg,1,5,555.7
Pittsfield,6,21,1949.2
Plano,10,43,7208.13
Pleasant Plains,2,10,1052.2
Plymouth,1,4,407.54
Pocahontas,5,20,2668.73
Polo,3,14,1396.23
Pontiac,19,90,16542.02
Pontoon Beach,8,40,13582.26
Pope County,2,6,502.91
Poplar Grove,8,38,5108.56
Port Barrington,3,15,2368.59
Port Byron,2,9,794.42
Posen,7,34,4698.46
Potomac,1,5,266.22
Prairie Du Rocher,2,10,1012.58
Prairie Grove,2,9,1702.3
Princeton,15,64,9821.41
Princeville,3,13,1015.27
Prophetstown,2,10,937.17
Prospect Heights,11,54,19524.92
Pulaski,1,4,402.54
Pulaski County,3,13,1126.69
Quincy,51,102,22470.37
Randolph County,4,18,2124.28
Ransom,1,5,402
Rantoul,13,61,13997.43
Raymond,2,9,1050.93
Red Bud,5,20,1772.79
Reddick,1,3,261.26
Reynolds,1,3,290.74
Richland County,1,3,121.14
Richmond,10,42,9613.01
Richton Park,6,25,2861.42
Ridge Farm,2,7,659.91
Ridgway,2,9,1241.41
Ringwood,2,10,1943.56
River Grove,13,61,16599.79
Riverdale,1,5,1114.2
Riverton,5,25,4585.71
Roanoke,2,6,394.05
Robbins,3,13,1415.97
Roberts,2,5,336.18
Robinson,7,31,4379.13
Rochelle,14,64,11161.09
Rochester,4,16,2014.06
Rock City,1,5,778.84
Rock Falls,20,96,17950.12
Rock Island,19,74,14075.65
Rock Island County,4,13,2539.81
Rockdale,7,28,4147.88
Rockford,89,432,130680.48
Rockton,6,28,3844.08
Romeoville,16,76,19950.09
Roodhouse,3,13,1825.52
Roscoe,17,85,26832.35
Roselle,8,38,9500.95
Roseville,1,5,282.34
Rosiclare,1,5,347.44
Rossville,1,2,122.79
Round Lake,8,37,8914.26
Round Lake Beach,11,51,16920.63
Round Lake Heights,3,15,6429.21
Round Lake Park,5,23,4943.22
Royal,1,3,157.26
Royalton,2,6,782.75
Ruma,2,6,198.92
Rushville,5,19,1728.19
Russellville,1,3,178.93
Sadorus,1,5,429.69
Sainte Marie,2,6,537.18
Salem,16,75,12687.35
Sandoval,5,23,1632.53
Sandwich,10,44,5513.3
Sangamon County,41,194,40703.98
Sauget,4,18,4787.75
Sauk Village,1,5,881.24
Saunemin,1,4,653.37
Savanna,13,49,5920.08
Savoy,5,21,7027.45
Sawyerville,1,3,149.74
Saybrook,1,4,99.02
Scales Mound,1,4,484.92
